index,item_ID,category2,text,material_tags,material_primary,pattern_tags,pattern_primary,neckline_tags,neckline_primary,sleeve_tags,sleeve_primary,review_status,error_type,notes
0,WOMEN-Sweatshirts_Hoodies-id_00005025-01_2_side,sweatshirts,The female wears a long-sleeve shirt with graphic patterns. The shirt is with cotton fabric and its neckline is lapel.,cotton,cotton,graphic,graphic,collared,collared,long_sleeve,long_sleeve,,,
1,WOMEN-Tees_Tanks-id_00006317-09_7_additional,tees,This lady wears a tank tank shirt with pure color patterns. The tank shirt is with cotton fabric. This lady wears a three-point shorts. The shorts are with denim fabric and solid color patterns. This female is wearing a ring on her finger.,cotton,cotton,solid,solid,,unknown,sleeveless,sleeveless,,,
2,WOMEN-Tees_Tanks-id_00004880-02_2_side,tees,The lady is wearing a short-sleeve shirt with graphic patterns. The shirt is with cotton fabric. The neckline of the shirt is round. There is an accessory on her wrist. This woman wears a ring. There is an accessory in his her neck.,cotton,cotton,graphic,graphic,,unknown,short_sleeve,short_sleeve,,,
3,WOMEN-Shorts-id_00004660-01_1_front,shorts,This woman wears a tank tank shirt with solid color patterns and a three-point shorts. The tank shirt is with cotton fabric and its neckline is round. The shorts are with cotton fabric and striped patterns.,cotton,cotton,stripe,stripe,,unknown,,unknown,,,
4,WOMEN-Blouses_Shirts-id_00001505-02_7_additional,blouses,The lady wears a medium-sleeve shirt with graphic patterns. The shirt is with cotton fabric. The pants the lady wears is of three-point length. The pants are with denim fabric and pure color patterns. There is an accessory on her wrist. There is a ring on her finger. There is an accessory in his her neck.,cotton,cotton,graphic,graphic,,unknown,,unknown,,,
5,WOMEN-Blouses_Shirts-id_00002441-01_2_side,blouses,The lady is wearing a sleeveless tank shirt with graphic patterns. The tank shirt is with chiffon fabric. It has a round neckline. The lady wears a three-point pants. The pants are with cotton fabric and floral patterns. There is an accessory on her wrist. This woman has neckwear. The person is wearing a ring on her finger.,chiffon,chiffon,graphic,graphic,round,round,sleeveless,sleeveless,,,
6,WOMEN-Tees_Tanks-id_00005071-04_3_back,tees,"The upper clothing has short sleeves, cotton fabric and complicated patterns. There is an accessory on her wrist.",cotton,cotton,,unknown,,unknown,short_sleeve,short_sleeve,,,
7,MEN-Shirts_Polos-id_00001540-03_3_back,shirts,The T-shirt this guy wears has short sleeves and it is with cotton fabric and pure color patterns. The neckline of the T-shirt is lapel. This gentleman wears a hat.,cotton,cotton,solid,solid,collared,collared,short_sleeve,short_sleeve,,,
8,WOMEN-Shorts-id_00007107-09_1_front,shorts,"The shirt this lady wears has long sleeves, its fabric is cotton, and it has pure color patterns. The shirt has a crew neckline. This lady wears a three-point pants, with cotton fabric and solid color patterns. The outer clothing this person wears is with cotton fabric and solid color patterns.",cotton; cotton,cotton,solid; solid,solid,,unknown,,unknown,,,
9,WOMEN-Blouses_Shirts-id_00007192-02_1_front,blouses,This woman wears a long-sleeve sweater with solid color patterns. The sweater is with chiffon fabric. It has a v-shape neckline. The shorts this woman wears is of three-point length. The shorts are with chiffon fabric and pure color patterns. There is a ring on her finger.,chiffon,chiffon,solid,solid,v_neck,v_neck,long_sleeve,long_sleeve,,,
10,WOMEN-Sweaters-id_00000745-06_1_front,sweaters,"Her shirt has medium sleeves, knitting fabric and solid color patterns. It has a crew neckline.",,unknown,solid,solid,crew,crew,,unknown,,,
11,WOMEN-Tees_Tanks-id_00007054-04_7_additional,tees,The female wears a sleeveless tank shirt with striped patterns. The tank shirt is with cotton fabric. The pants the female wears is of three-point length. The pants are with denim fabric and solid color patterns.,cotton,cotton,stripe,stripe,,unknown,sleeveless,sleeveless,,,
12,WOMEN-Jackets_Coats-id_00003522-02_2_side,jackets,"The sweater the lady wears has long sleeves and its fabric is cotton. The pattern of it is solid color. The lady wears a long trousers, with leather fabric and pure color patterns. This female is wearing a ring on her finger.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
13,WOMEN-Dresses-id_00000598-02_1_front,dresses,The lady is wearing a tank tank top with graphic patterns. The tank top is with cotton fabric. It has a suspenders neckline. The lady wears a long trousers. The trousers are with cotton fabric and graphic patterns. There is an accessory in his her neck. There is an accessory on her wrist. There is a ring on her finger.,,unknown,,unknown,,unknown,,unknown,,,
14,MEN-Tees_Tanks-id_00002675-02_2_side,tees,The T-shirt the guy wears has short sleeves and its fabric is cotton. The pattern of it is stripe.,cotton,cotton,stripe,stripe,,unknown,short_sleeve,short_sleeve,,,
15,WOMEN-Blouses_Shirts-id_00007911-02_2_side,blouses,"Her T-shirt has short sleeves, chiffon fabric and pure color patterns. It has a lapel neckline. The person wears a three-point shorts. The shorts are with cotton fabric and solid color patterns. The lady is wearing a ring on her finger. There is an accessory on her wrist.",chiffon,chiffon,solid,solid,collared,collared,short_sleeve,short_sleeve,,,
16,MEN-Tees_Tanks-id_00001571-10_1_front,tees,"His shirt has short sleeves, cotton fabric and pure color patterns. The neckline of it is v-shape. There is a ring on his finger. There is an accessory on his wrist.",cotton,cotton,solid,solid,v_neck,v_neck,short_sleeve,short_sleeve,,,
17,WOMEN-Sweatshirts_Hoodies-id_00003697-01_4_full,sweatshirts,"This woman wears a long-sleeve sweater with graphic patterns and a long trousers. The sweater is with cotton fabric. The neckline of the sweater is crew. The trousers are with denim fabric and pure color patterns. This woman also wears an outer clothing, with leather fabric and pure color patterns. This lady wears a ring. There is an accessory in his her neck.",cotton; leather,cotton,graphic; solid,graphic,crew,crew,long_sleeve,long_sleeve,,,
18,WOMEN-Shorts-id_00002320-06_1_front,shorts,The female wears a tank tank top with pure color patterns and a three-point shorts. The tank top is with cotton fabric and its neckline is crew. The shorts are with denim fabric and solid color patterns. There is an accessory on her wrist. This lady wears a ring.,denim,denim,solid,solid,,unknown,,unknown,,,
19,WOMEN-Sweaters-id_00003034-01_2_side,sweaters,"Her shirt has long sleeves, cotton fabric and pure color patterns. It has a round neckline. The shorts this lady wears is of three-point length. The shorts are with leather fabric and pure color patterns. This person wears a ring. There is an accessory on her wrist.",cotton,cotton,solid,solid,round,round,long_sleeve,long_sleeve,,,
20,WOMEN-Tees_Tanks-id_00001155-01_7_additional,tees,This female wears a short-sleeve T-shirt with graphic patterns. The T-shirt is with cotton fabric. The person is wearing a ring on her finger. There is an accessory on her wrist. This woman has neckwear.,cotton,cotton,graphic,graphic,,unknown,short_sleeve,short_sleeve,,,
21,MEN-Tees_Tanks-id_00001021-04_3_back,tees,This guy is wearing a short-sleeve T-shirt with color block patterns. The T-shirt is with cotton fabric.,cotton,cotton,color_block,color_block,,unknown,short_sleeve,short_sleeve,,,
22,WOMEN-Skirts-id_00006374-02_1_front,skirts,The person is wearing a short-sleeve T-shirt with solid color patterns. The T-shirt is with cotton fabric. The person wears a short skirt. The skirt is with denim fabric and complicated patterns. The female wears socks in shoes. There is a hat in her head.,denim,denim,,unknown,,unknown,,unknown,,,
23,WOMEN-Tees_Tanks-id_00005082-01_1_front,tees,"The upper clothing has short sleeves, cotton fabric and graphic patterns. The neckline of it is crew. There is a ring on her finger.",cotton,cotton,graphic,graphic,crew,crew,short_sleeve,short_sleeve,,,
24,WOMEN-Tees_Tanks-id_00007857-04_1_front,tees,"Her tank top has sleeves cut off, cotton fabric and pure color patterns. The neckline of it is suspenders. The pants the lady wears is of three-point length. The pants are with cotton fabric and pure color patterns. There is a ring on her finger.",cotton,cotton,solid,solid,,unknown,sleeveless,sleeveless,,,
25,WOMEN-Blouses_Shirts-id_00001806-01_1_front,blouses,The shirt this female wears has long sleeves and its fabric is cotton. The pattern of it is lattice. There is an accessory on her wrist. This lady is wearing a ring on her finger.,cotton,cotton,,unknown,,unknown,long_sleeve,long_sleeve,,,
26,WOMEN-Pants-id_00002660-02_1_front,pants,"Her tank shirt has sleeves cut off, cotton fabric and pure color patterns. The neckline of it is suspenders. The trousers the female wears is of long length. The trousers are with cotton fabric and solid color patterns. This lady is wearing a ring on her finger. This female has neckwear. There is an accessory on her wrist.",cotton,cotton,solid,solid,,unknown,,unknown,,,
27,WOMEN-Shorts-id_00004933-05_3_back,shorts,"The shirt this person wears has short sleeves and it is with cotton fabric and solid color patterns. This person wears a three-point pants, with denim fabric and pure color patterns. This woman is wearing leggings. There is an accessory on her wrist. This female wears a ring.",denim,denim,solid,solid,,unknown,,unknown,,,
28,WOMEN-Jackets_Coats-id_00005067-02_1_front,jackets,The person wears a long-sleeve sweater with graphic patterns. The sweater is with denim fabric. It has a stand neckline. The shorts the person wears is of three-point length. The shorts are with denim fabric and solid color patterns. There is an accessory in his her neck. There is a ring on her finger.,denim,denim,graphic,graphic,,unknown,long_sleeve,long_sleeve,,,
29,WOMEN-Sweaters-id_00002583-03_1_front,sweaters,This female is wearing a long-sleeve sweater with solid color patterns. The sweater is with knitting fabric and its neckline is crew. The female wears a ring. The lady has neckwear. There is an accessory on her wrist. The person wears a hat.,,unknown,solid,solid,crew,crew,long_sleeve,long_sleeve,,,
30,WOMEN-Tees_Tanks-id_00001894-02_1_front,tees,This lady wears a short-sleeve shirt with solid color patterns. The shirt is with cotton fabric and its neckline is v-shape.,cotton,cotton,solid,solid,v_neck,v_neck,short_sleeve,short_sleeve,,,
31,WOMEN-Sweaters-id_00001210-03_1_front,sweaters,The lady wears a long-sleeve shirt with other patterns. The shirt is with knitting fabric and its neckline is round. There is an accessory in his her neck. There is an accessory on her wrist. This female wears a ring.,,unknown,,unknown,,unknown,long_sleeve,long_sleeve,,,
32,WOMEN-Rompers_Jumpsuits-id_00007760-02_1_front,rompers,"The shirt this person wears has short sleeves and it is with cotton fabric and pure color patterns. The neckline of the shirt is crew. This person wears a long pants, with cotton fabric and solid color patterns. There is an accessory on her wrist.",,unknown,,unknown,,unknown,,unknown,,,
33,WOMEN-Graphic_Tees-id_00003803-01_3_back,graphic,The female wears a short-sleeve shirt with graphic patterns. The shirt is with cotton fabric. The pants the female wears is of three-point length. The pants are with cotton fabric and pure color patterns. There is a ring on her finger. There is an accessory on her wrist.,cotton,cotton,graphic,graphic,,unknown,short_sleeve,short_sleeve,,,
34,WOMEN-Skirts-id_00005944-03_1_front,skirts,This person is wearing a tank tank shirt with solid color patterns. The tank shirt is with cotton fabric. This person wears a three-point skirt. The skirt is with cotton fabric and graphic patterns. This lady is wearing a ring on her finger. There is an accessory on her wrist.,cotton,cotton,graphic,graphic,,unknown,,unknown,,,
35,MEN-Sweaters-id_00000702-07_3_back,sweaters,This person is wearing a long-sleeve shirt with pure color patterns. The shirt is with cotton fabric.,cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
36,WOMEN-Jackets_Coats-id_00000264-02_7_additional,jackets,This woman wears a long-sleeve sweater with solid color patterns and a three-point pants. The sweater is with cotton fabric and its neckline is round. The pants are with cotton fabric and solid color patterns. The outer clothing the lady wears is with cotton fabric and solid color patterns. There is an accessory on her wrist. There is a ring on her finger.,cotton; cotton,cotton,solid; solid,solid,,unknown,long_sleeve,long_sleeve,,,
37,WOMEN-Cardigans-id_00000613-03_4_full,cardigans,"The upper clothing has long sleeves, cotton fabric and solid color patterns. It has a round neckline. The lower clothing is of long length. The fabric is denim and it has pure color patterns. The outer clothing the person wears is with cotton fabric and graphic patterns. This person wears a hat. This female is wearing a ring on her finger.",cotton; cotton; denim,cotton,graphic; solid; solid,graphic,round,round,long_sleeve,long_sleeve,,,
38,MEN-Tees_Tanks-id_00007319-03_3_back,tees,"The upper clothing has long sleeves, cotton fabric and solid color patterns.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
39,WOMEN-Tees_Tanks-id_00006809-07_2_side,tees,"Her sweater has long sleeves, cotton fabric and striped patterns. The neckline of it is crew. There is an accessory on her wrist. The person is wearing a ring on her finger.",cotton,cotton,stripe,stripe,crew,crew,long_sleeve,long_sleeve,,,
40,WOMEN-Blouses_Shirts-id_00007196-05_7_additional,blouses,The tank shirt the person wears has sleeves cut off and its fabric is chiffon. The pattern of it is solid color. The female is wearing a ring on her finger. There is an accessory in his her neck. This person has a hat in her head. There is an accessory on her wrist.,chiffon,chiffon,solid,solid,,unknown,sleeveless,sleeveless,,,
41,WOMEN-Sweaters-id_00006483-03_7_additional,sweaters,"The shirt this female wears has long sleeves and it is with cotton fabric and color block patterns. The neckline of the shirt is lapel. This female wears a three-point shorts, with chiffon fabric and graphic patterns. The person is wearing leggings.",cotton,cotton,color_block,color_block,collared,collared,long_sleeve,long_sleeve,,,
42,WOMEN-Graphic_Tees-id_00000504-01_3_back,graphic,The tank top this woman wears has sleeves cut off and its fabric is cotton. The pattern of it is solid color. There is a ring on her finger. There is an accessory on her wrist.,cotton,cotton,solid,solid,,unknown,sleeveless,sleeveless,,,
43,WOMEN-Sweaters-id_00002124-01_2_side,sweaters,"Her sweater has long sleeves, furry fabric and pure color patterns. The neckline of it is crew. This female wears a ring.",,unknown,solid,solid,crew,crew,long_sleeve,long_sleeve,,,
44,WOMEN-Blouses_Shirts-id_00006331-02_1_front,blouses,"Her sweater has long sleeves, cotton fabric and pure color patterns. The neckline of it is round. The shorts this lady wears is of three-point length. The shorts are with denim fabric and pure color patterns. The outer clothing is with cotton fabric and graphic patterns. There is an accessory on her wrist. This female is wearing a ring on her finger. The lady has neckwear.",cotton; cotton,cotton,graphic; solid,graphic,,unknown,long_sleeve,long_sleeve,,,
45,WOMEN-Sweaters-id_00006941-01_1_front,sweaters,This female is wearing a long-sleeve sweater with graphic patterns. The sweater is with knitting fabric and its neckline is stand. This woman is wearing a ring on her finger.,,unknown,graphic,graphic,,unknown,long_sleeve,long_sleeve,,,
46,WOMEN-Tees_Tanks-id_00007697-03_7_additional,tees,"The upper clothing has long sleeves, cotton fabric and pure color patterns. There is a hat in her head. There is a ring on her finger.",cotton,cotton,solid,solid,,unknown,long_sleeve,long_sleeve,,,
47,WOMEN-Jackets_Coats-id_00001561-02_7_additional,jackets,This female wears a sleeveless tank shirt with pure color patterns and long pants. The tank shirt is with cotton fabric and it has a round neckline. The pants are with denim fabric and solid color patterns. The outer clothing this lady wears is with cotton fabric and pure color patterns. There is an accessory on her wrist. There is a ring on her finger. There is an accessory in his her neck.,cotton; cotton,cotton,solid; solid,solid,round,round,sleeveless,sleeveless,,,
